                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1747,                 3.5426,                 0.9814,                0.00742,                0.94909,                0.34304,                0.28042,                 1.1665,                  3.315,                0.91235,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1831,                 1.6945,                0.95816,                0.00691,                0.95126,                0.42252,                 0.2925,                 1.2705,                 3.1873,                 0.9422,             0.00034545,             0.00034545,             0.00034545
                      3,                 1.1022,                 1.2897,                0.94857,                      1,                0.02074,                0.27515,                0.22031,                 1.1686,                 3.2723,                0.95996,             0.00051936,             0.00051936,             0.00051936
                      4,                 1.1346,                 1.1945,                0.95913,                0.94008,                0.05102,                0.20619,                0.15639,                 1.1661,                 3.0768,                0.94588,             0.00068842,             0.00068842,             0.00068842
                      5,                 1.1319,                 1.1182,                0.97027,                0.58586,                0.04082,                 0.1248,                 0.0737,                 1.2104,                 3.0446,                0.96808,             0.00085265,             0.00085265,             0.00085265
                      6,                  1.121,                 1.1124,                0.97745,                0.00502,                 0.7423,                0.01943,                 0.0102,                 1.4361,                 3.4293,                 1.1422,               0.001012,               0.001012,               0.001012
                      7,                 1.1559,                  1.123,                0.97868,                0.60832,                0.18584,                0.19462,                0.12324,                 1.3327,                 2.9993,                 1.0839,              0.0011666,              0.0011666,              0.0011666
                      8,                 1.1464,                 1.0844,                0.98639,                0.82537,                   0.25,                0.30246,                0.20488,                 1.5071,                 2.6588,                 1.1531,              0.0013163,              0.0013163,              0.0013163
                      9,                 1.1461,                 1.0525,                0.99276,                 0.6294,                0.37257,                0.46728,                0.32121,                 1.4211,                 2.2545,                 1.1213,              0.0014611,              0.0014611,              0.0014611
                     10,                 1.1664,                 1.0344,                0.99029,                0.72717,                0.61702,                0.69458,                0.43987,                 1.3875,                 1.4407,                 1.0813,               0.001469,               0.001469,               0.001469
                     11,                 1.1625,                0.96642,                0.98861,                0.45111,                0.56547,                0.39947,                 0.2448,                 1.3745,                 1.8497,                 1.0799,               0.001447,               0.001447,               0.001447
                     12,                 1.1295,                0.93955,                0.99097,                 0.6099,                0.50851,                0.61318,                0.41159,                 1.3285,                 1.7637,                 1.0451,               0.001425,               0.001425,               0.001425
                     13,                 1.0919,                0.88863,                0.96638,                0.53928,                 0.7172,                0.58633,                0.37394,                 1.2498,                 1.2802,                 1.0119,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1336,                0.86985,                0.98037,                0.68204,                0.68567,                0.73837,                 0.4828,                 1.3109,                 1.2752,                 1.0582,              0.0013809,              0.0013809,              0.0013809
                     15,                   1.07,                0.83994,                 0.9675,                0.53299,                0.71812,                0.61343,                0.39059,                  1.223,                   1.69,                 1.0057,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.1006,                0.85341,                 0.9753,                 0.7003,                0.66721,                 0.7876,                0.54068,                 1.2268,                  1.226,                 1.0019,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0911,                0.83724,                0.96131,                0.69831,                0.74421,                0.75429,                0.51493,                 1.1971,                 1.1391,                0.98993,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0493,                0.78158,                0.95305,                0.62447,                 0.7747,                0.68782,                0.46279,                 1.1964,                 1.1049,                0.99442,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.0506,                0.77614,                0.95207,                0.84687,                0.78808,                0.84668,                 0.5869,                 1.1998,                 1.0786,                0.99921,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.0302,                0.77821,                0.95423,                0.86598,                0.82013,                0.86928,                0.61016,                 1.1668,                0.87136,                0.98612,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.0021,                0.75237,                0.93809,                0.84141,                 0.8393,                 0.8998,                0.64521,                 1.1117,                0.81513,                 0.9539,              0.0012269,              0.0012269,              0.0012269
                     22,                0.96122,                0.72925,                0.93254,                0.89894,                0.78781,                0.90656,                0.64166,                 1.1182,                0.82598,                0.96221,              0.0012049,              0.0012049,              0.0012049
                     23,                0.98248,                0.70616,                0.93552,                0.87176,                0.78921,                0.88952,                0.62676,                 1.1961,                0.80746,                0.99744,              0.0011829,              0.0011829,              0.0011829
                     24,                0.99189,                0.71451,                0.94623,                0.85512,                0.79042,                0.90224,                0.63674,                 1.1467,                0.77537,                0.96159,              0.0011609,              0.0011609,              0.0011609
                     25,                  0.991,                0.71748,                0.93835,                0.83087,                0.83652,                0.89916,                0.65762,                 1.0931,                0.75455,                0.94825,              0.0011389,              0.0011389,              0.0011389
                     26,                0.96613,                0.69683,                 0.9364,                0.84463,                 0.8591,                0.90586,                 0.6655,                 1.0843,                0.71313,                0.93896,              0.0011169,              0.0011169,              0.0011169
                     27,                0.96926,                0.68673,                0.92687,                0.86562,                0.81242,                0.88554,                0.64589,                 1.0804,                0.79469,                0.93625,              0.0010949,              0.0010949,              0.0010949
                     28,                0.95966,                0.68321,                 0.9319,                0.89571,                0.79498,                0.88278,                0.64787,                 1.0897,                0.80317,                0.94599,              0.0010729,              0.0010729,              0.0010729
                     29,                0.90863,                0.64989,                0.92563,                0.85484,                0.82095,                0.88766,                0.65596,                 1.0848,                0.77224,                0.95023,              0.0010509,              0.0010509,              0.0010509
                     30,                0.93548,                0.65384,                0.91805,                0.90411,                0.80347,                0.88528,                0.66038,                 1.0757,                0.82068,                0.94524,              0.0010289,              0.0010289,              0.0010289
                     31,                0.92986,                0.64476,                0.92765,                0.90311,                0.81579,                0.91063,                0.68271,                 1.0643,                0.71656,                0.94748,              0.0010069,              0.0010069,              0.0010069
                     32,                0.91834,                0.65664,                0.91979,                0.88999,                 0.8213,                0.89456,                0.67747,                  1.036,                0.74545,                0.91427,             0.00098486,             0.00098486,             0.00098486
                     33,                0.92301,                0.63444,                 0.9151,                0.89925,                0.84868,                0.92055,                0.67994,                 1.0603,                0.69252,                0.93885,             0.00096286,             0.00096286,             0.00096286
                     34,                0.92277,                0.64009,                0.92842,                0.81313,                0.85254,                 0.8954,                0.66803,                 1.0686,                0.74298,                0.93172,             0.00094085,             0.00094085,             0.00094085
                     35,                0.90359,                0.61388,                0.91293,                0.84977,                0.81892,                0.89156,                0.68313,                 1.0496,                 0.7031,                 0.9225,             0.00091885,             0.00091885,             0.00091885
                     36,                0.90616,                0.61065,                0.91105,                0.86888,                 0.8562,                0.91794,                0.70093,                 1.0144,                0.69774,                0.92777,             0.00089685,             0.00089685,             0.00089685
                     37,                0.88985,                0.59659,                0.90436,                 0.8012,                 0.8812,                0.90711,                0.68244,                  1.028,                0.72268,                 0.9187,             0.00087484,             0.00087484,             0.00087484
                     38,                 0.8663,                0.59335,                 0.9084,                0.85643,                0.83563,                 0.9181,                0.68476,                  1.021,                  0.682,                 0.9259,             0.00085284,             0.00085284,             0.00085284
                     39,                 0.8696,                0.59602,                0.89438,                  0.875,                0.86822,                0.92861,                0.70653,                0.98599,                0.68416,                0.91563,             0.00083083,             0.00083083,             0.00083083
