                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2059,                 3.4949,                0.99138,                0.00681,                0.94488,                0.37558,                0.30236,                 1.0613,                 3.2949,                 0.8819,              0.0001667,              0.0001667,              0.0001667
                      2,                   1.17,                 1.6934,                0.95823,                0.00648,                0.92043,                0.49476,                0.36035,                 1.1772,                  3.116,                0.90976,             0.00034776,             0.00034776,             0.00034776
                      3,                 1.1139,                  1.298,                0.95959,                0.00693,                0.40979,                0.28737,                0.22659,                 1.1193,                 3.3064,                0.92904,              0.0005264,              0.0005264,              0.0005264
                      4,                 1.1447,                 1.1819,                0.96942,                0.94729,                0.04054,                 0.2716,                0.18248,                 1.1733,                  3.003,                0.92533,             0.00070262,             0.00070262,             0.00070262
                      5,                 1.1412,                 1.1391,                0.96303,                0.16074,                0.07143,                0.10181,                 0.0608,                 1.4006,                 3.1301,                  1.043,             0.00087642,             0.00087642,             0.00087642
                      6,                 1.1485,                 1.1075,                0.98008,                0.51971,                0.13286,                0.41356,                  0.289,                 1.3337,                 2.7331,                 1.0185,              0.0010478,              0.0010478,              0.0010478
                      7,                 1.1743,                 1.0964,                0.99008,                0.47593,                0.12517,                0.33848,                0.18409,                 1.4916,                 2.6592,                 1.0966,              0.0012167,              0.0012167,              0.0012167
                      8,                 1.1822,                 1.0667,                0.99515,                0.95338,                0.11824,                0.52787,                0.33232,                 1.3016,                 2.5979,                 1.0535,              0.0013833,              0.0013833,              0.0013833
                      9,                 1.1661,                 1.0439,                 1.0024,                 0.5009,                0.57202,                0.44386,                0.27286,                 1.3201,                 1.9361,                 1.0523,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.1643,                 1.0186,                0.99296,                0.47582,                0.59582,                 0.3674,                0.20793,                  1.411,                 4.8591,                 1.1505,               0.001568,               0.001568,               0.001568
                     11,                 1.1758,                 1.0096,                 1.0076,                0.36987,                0.72238,                0.41331,                0.24757,                 1.2575,                 3.8656,                 1.0615,               0.001557,               0.001557,               0.001557
                     12,                 1.1327,                0.93192,                0.99696,                0.32525,                0.47637,                0.33293,                0.21846,                 1.2974,                 2.2872,                  1.028,               0.001546,               0.001546,               0.001546
