                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2029,                 3.5418,                0.98622,                 0.0067,                0.92424,                0.32557,                0.23948,                 1.2413,                  3.338,                 0.9088,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1865,                 1.7397,                0.96354,                0.00618,                0.92443,                0.51659,                0.35792,                 1.2472,                 3.1321,                0.93809,             0.00034545,             0.00034545,             0.00034545
                      3,                 1.1262,                 1.3155,                 0.9638,                0.90595,                 0.0989,                0.19482,                0.13922,                 1.2115,                 3.3239,                0.96778,             0.00051936,             0.00051936,             0.00051936
                      4,                 1.1137,                 1.1939,                0.96414,                      1,                 0.0432,                0.31294,                0.23624,                 1.2673,                 3.2089,                  1.002,             0.00068842,             0.00068842,             0.00068842
                      5,                 1.1084,                 1.1396,                0.96248,                 0.4495,                0.09851,                0.22518,                0.14507,                 1.3438,                 2.9603,                 1.0171,             0.00085265,             0.00085265,             0.00085265
                      6,                 1.1347,                 1.1116,                0.97397,                0.54905,                0.03516,                0.08206,                0.05636,                 1.3639,                 3.1674,                 1.0536,               0.001012,               0.001012,               0.001012
                      7,                 1.1469,                  1.067,                0.98356,                 0.3124,                0.14493,                0.17816,                0.10352,                 1.4151,                  3.005,                 1.1159,              0.0011666,              0.0011666,              0.0011666
                      8,                 1.1261,                 1.0353,                0.98122,                0.38331,                0.51416,                0.35038,                  0.226,                 1.3476,                 2.1532,                 1.0344,              0.0013163,              0.0013163,              0.0013163
                      9,                 1.1524,                  1.062,                0.99402,                0.49612,                0.49298,                0.41024,                0.23384,                 1.5301,                 2.5905,                 1.1461,              0.0014611,              0.0014611,              0.0014611
                     10,                 1.1541,                 0.9937,                0.99395,                0.45753,                0.50864,                0.36766,                0.22132,                  1.469,                 2.0039,                 1.1335,               0.001469,               0.001469,               0.001469
                     11,                 1.1657,                0.97977,                0.99535,                0.65162,                0.63761,                0.67163,                0.44704,                 1.3737,                 1.3884,                 1.0735,               0.001447,               0.001447,               0.001447
                     12,                 1.1245,                0.93595,                0.97775,                0.71947,                0.51585,                0.64068,                0.45211,                 1.3315,                 1.3689,                 1.0768,               0.001425,               0.001425,               0.001425
                     13,                 1.1067,                0.89538,                0.97581,                0.74607,                0.71082,                0.76079,                 0.5214,                 1.2686,                 1.2209,                 1.0309,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1147,                0.86387,                0.98566,                0.77813,                 0.7465,                0.80191,                0.53306,                 1.2677,                 1.3256,                 1.0507,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0585,                0.84374,                0.96503,                 0.6092,                0.72418,                0.71623,                0.51133,                  1.226,                 1.6753,                 1.0381,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0546,                0.82301,                0.96227,                0.76202,                0.73761,                0.81237,                0.57062,                  1.199,                 1.1841,                 1.0186,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0305,                0.78585,                0.95359,                0.80386,                0.78141,                0.83961,                0.58733,                 1.2067,                0.97895,                0.99322,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0501,                0.79208,                0.96549,                0.84209,                0.76296,                0.84589,                0.60572,                 1.1909,                0.99775,                0.97873,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.0492,                0.79896,                 0.9586,                0.73203,                 0.6864,                0.77467,                0.54761,                 1.1902,                 1.1733,                0.99228,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.0101,                 0.7517,                 0.9496,                0.81566,                0.75905,                0.83017,                0.58113,                 1.2106,                0.90996,                0.98987,              0.0012489,              0.0012489,              0.0012489
                     21,                0.99836,                0.73434,                 0.9486,                0.86016,                0.75089,                0.83803,                0.59416,                 1.2071,                0.92093,                0.98996,              0.0012269,              0.0012269,              0.0012269
                     22,                0.99244,                0.73091,                0.94705,                0.78285,                0.69686,                0.79634,                0.58458,                 1.2111,                 1.1594,                0.99352,              0.0012049,              0.0012049,              0.0012049
                     23,                0.98778,                0.73409,                0.92981,                0.73072,                0.66891,                0.75793,                0.55532,                 1.2411,                 1.2662,                 1.0085,              0.0011829,              0.0011829,              0.0011829
                     24,                0.98706,                0.72732,                0.95064,                0.80601,                0.84057,                0.87295,                0.64291,                 1.1395,                0.82945,                0.96924,              0.0011609,              0.0011609,              0.0011609
                     25,                0.98416,                0.70382,                0.93874,                0.81456,                0.83009,                0.87305,                0.63428,                 1.0815,                0.84745,                0.94492,              0.0011389,              0.0011389,              0.0011389
                     26,                0.97262,                0.70276,                0.93581,                0.74521,                0.80777,                0.86395,                0.62582,                 1.1132,                0.94563,                0.95367,              0.0011169,              0.0011169,              0.0011169
                     27,                0.95552,                0.68575,                0.92561,                0.81443,                0.83157,                0.88485,                0.63963,                 1.0986,                0.82054,                0.95402,              0.0010949,              0.0010949,              0.0010949
                     28,                0.95504,                0.67236,                0.92862,                0.80872,                0.88237,                0.90253,                0.66684,                 1.0955,                0.74351,                0.95321,              0.0010729,              0.0010729,              0.0010729
                     29,                0.92994,                0.66036,                0.92468,                0.81686,                0.85433,                0.89959,                 0.6395,                 1.0982,                0.76154,                0.95974,              0.0010509,              0.0010509,              0.0010509
                     30,                 0.9217,                0.65466,                0.92212,                0.81737,                0.83258,                0.90128,                0.65242,                 1.0756,                0.76123,                 0.9347,              0.0010289,              0.0010289,              0.0010289
                     31,                0.94716,                0.65647,                0.91698,                0.82189,                0.84561,                0.90701,                 0.6701,                 1.0668,                0.75116,                0.94976,              0.0010069,              0.0010069,              0.0010069
                     32,                0.89144,                 0.6277,                0.91061,                0.85584,                0.80946,                0.89773,                 0.6657,                 1.0902,                0.76113,                0.94528,             0.00098486,             0.00098486,             0.00098486
                     33,                0.92974,                0.63253,                0.91912,                0.83898,                0.87484,                0.91766,                0.68305,                 1.1154,                0.73658,                0.94683,             0.00096286,             0.00096286,             0.00096286
                     34,                0.91097,                  0.619,                0.91942,                0.84349,                0.85358,                0.90941,                0.66538,                 1.0853,                0.74435,                0.95214,             0.00094085,             0.00094085,             0.00094085
                     35,                0.90697,                0.61528,                0.91408,                0.82728,                0.82592,                0.89795,                 0.6666,                 1.1031,                0.79779,                0.95692,             0.00091885,             0.00091885,             0.00091885
                     36,                0.90658,                0.61944,                0.91679,                 0.8482,                0.84681,                0.90748,                0.66519,                 1.1353,                0.73703,                0.96553,             0.00089685,             0.00089685,             0.00089685
                     37,                0.87101,                0.60703,                0.89834,                0.87094,                0.81876,                0.89711,                0.67209,                 1.0642,                 0.7384,                0.92935,             0.00087484,             0.00087484,             0.00087484
                     38,                0.88577,                0.58907,                0.89746,                0.82042,                0.84316,                 0.9066,                0.68435,                0.97967,                0.72126,                0.91918,             0.00085284,             0.00085284,             0.00085284
                     39,                0.89029,                0.59854,                0.90414,                0.83333,                0.85324,                0.91427,                0.68104,                 1.0113,                0.72447,                0.92013,             0.00083083,             0.00083083,             0.00083083
                     40,                0.85366,                0.58539,                0.90575,                0.84023,                0.83155,                0.89905,                0.68161,                 1.0264,                0.77263,                0.92569,             0.00080883,             0.00080883,             0.00080883
                     41,                0.87302,                0.58835,                0.90982,                 0.8762,                0.84424,                0.92037,                0.69926,                 1.0316,                0.69577,                0.92679,             0.00078682,             0.00078682,             0.00078682
                     42,                0.84443,                0.56111,                 0.8963,                0.83651,                0.89098,                0.91722,                0.70177,                 1.0047,                0.66586,                0.91244,             0.00076482,             0.00076482,             0.00076482
