                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2029,                 3.5418,                0.98622,                 0.0067,                0.92424,                0.32557,                0.23948,                 1.2413,                  3.338,                 0.9088,              0.0001667,              0.0001667,              0.0001667
                      2,                  1.186,                 1.7367,                0.96356,                0.00623,                0.92803,                 0.5161,                0.35554,                 1.2546,                 3.1396,                0.93877,             0.00034776,             0.00034776,             0.00034776
                      3,                 1.1211,                 1.3109,                0.96162,                 0.0057,                0.89053,                 0.2167,                0.14172,                 1.1809,                 3.3252,                0.94809,              0.0005264,              0.0005264,              0.0005264
                      4,                  1.111,                 1.1905,                0.96662,                      1,                0.02114,                0.23518,                0.15646,                  1.253,                 3.3302,                 1.0021,             0.00070262,             0.00070262,             0.00070262
                      5,                 1.1203,                 1.1533,                0.96813,                0.51255,                0.03073,                 0.2161,                0.13958,                 1.3249,                  3.177,                 1.0479,             0.00087642,             0.00087642,             0.00087642
                      6,                 1.1417,                 1.1228,                0.97552,                0.75981,                0.02198,                0.05421,                0.02667,                 1.3502,                  3.421,                 1.0904,              0.0010478,              0.0010478,              0.0010478
                      7,                 1.1347,                 1.0858,                0.98834,                0.71856,                0.12637,                0.18113,                0.11595,                 1.4075,                 3.0105,                 1.0917,              0.0012167,              0.0012167,              0.0012167
                      8,                 1.1296,                 1.0702,                0.98266,                0.83204,                0.42601,                0.64185,                0.38405,                 1.4681,                  2.025,                 1.1318,              0.0013833,              0.0013833,              0.0013833
                      9,                  1.135,                 1.0549,                0.98811,                0.52372,                0.45519,                0.44459,                0.26148,                  1.538,                  2.083,                 1.1159,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.1474,                0.99268,                0.98706,                0.30533,                0.47359,                0.26144,                0.13187,                  1.748,                  2.399,                 1.3053,               0.001568,               0.001568,               0.001568
