                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2059,                 3.4949,                0.99138,                0.00681,                0.94488,                0.37558,                0.30236,                 1.0613,                 3.2949,                 0.8819,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1682,                 1.6935,                0.95667,                0.00656,                0.92437,                0.50451,                0.37102,                 1.1768,                 3.1098,                0.90779,             0.00034545,             0.00034545,             0.00034545
                      3,                 1.1096,                 1.2955,                0.95731,                0.00929,                0.51645,                0.31846,                0.25272,                 1.1136,                 3.2637,                0.92588,             0.00051936,             0.00051936,             0.00051936
                      4,                 1.1338,                 1.1875,                0.96664,                0.06108,                0.55716,                0.41875,                 0.3007,                 1.1519,                 2.9794,                0.93035,             0.00068842,             0.00068842,             0.00068842
                      5,                 1.1505,                 1.1602,                0.96833,                0.95284,                0.09148,                0.42467,                 0.3152,                 1.2633,                 2.9017,                0.95481,             0.00085265,             0.00085265,             0.00085265
                      6,                 1.1713,                 1.1292,                 0.9805,                0.90986,                 0.2476,                0.50695,                0.34622,                  1.275,                 2.5965,                0.97851,               0.001012,               0.001012,               0.001012
                      7,                 1.1518,                 1.0993,                0.97915,                0.64794,                0.18414,                0.46185,                0.30262,                 1.3112,                 2.3937,                 1.0276,              0.0011666,              0.0011666,              0.0011666
                      8,                 1.1429,                 1.0619,                0.97858,                0.40451,                0.26432,                0.29808,                0.18779,                 1.4457,                 2.5163,                 1.0877,              0.0013163,              0.0013163,              0.0013163
                      9,                 1.1532,                 1.0415,                0.99188,                0.63369,                 0.6046,                0.69107,                 0.4388,                 1.3497,                 1.6692,                 1.0379,              0.0014611,              0.0014611,              0.0014611
                     10,                 1.1637,                 1.0139,                0.98813,                0.73973,                0.38452,                0.54328,                0.37965,                 1.2902,                 2.0122,                 1.0355,               0.001469,               0.001469,               0.001469
                     11,                 1.1893,                 1.0163,                 0.9994,                 0.4893,                0.68693,                0.61386,                0.40338,                 1.1872,                 1.7991,                 1.0158,               0.001447,               0.001447,               0.001447
                     12,                 1.1256,                0.93972,                0.98642,                0.56972,                 0.7301,                0.60305,                0.38637,                 1.1847,                 1.6781,                0.99681,               0.001425,               0.001425,               0.001425
