                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1728,                 3.4793,                0.97841,                0.00699,                0.94708,                0.38407,                0.29448,                 1.1933,                 3.2933,                0.93219,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1425,                 1.6751,                0.94399,                0.00703,                0.94526,                0.54021,                0.36111,                  1.265,                  3.136,                0.95541,             0.00034776,             0.00034776,             0.00034776
                      3,                 1.1268,                 1.3224,                0.96099,                0.00646,                0.87623,                 0.3591,                0.27705,                 1.1467,                 3.3089,                0.95863,              0.0005264,              0.0005264,              0.0005264
                      4,                 1.1312,                 1.2211,                0.96243,                 0.9667,                0.06651,                0.13385,                0.10318,                 1.1621,                  3.245,                0.97192,             0.00070262,             0.00070262,             0.00070262
                      5,                  1.116,                  1.141,                0.96701,                0.65903,                0.05337,                0.07604,                0.05281,                 1.2432,                 3.1737,                 1.0027,             0.00087642,             0.00087642,             0.00087642
                      6,                 1.1698,                 1.1314,                0.99604,                0.64811,                0.04343,                0.11111,                0.08015,                 1.3551,                 3.2298,                  1.112,              0.0010478,              0.0010478,              0.0010478
                      7,                   1.13,                 1.0922,                0.98554,                0.77326,                0.12814,                0.22073,                0.15881,                 1.4942,                 3.0419,                 1.2262,              0.0012167,              0.0012167,              0.0012167
                      8,                 1.1903,                 1.0681,                0.99414,                0.63185,                0.47596,                0.51447,                0.31215,                  1.462,                 2.0335,                 1.1128,              0.0013833,              0.0013833,              0.0013833
                      9,                 1.1567,                 1.0356,                0.99788,                0.41107,                0.54596,                0.36178,                0.19714,                  1.373,                 2.5762,                 1.1121,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.1444,                 1.0302,                 0.9926,                0.59896,                 0.6372,                 0.6553,                0.40074,                 1.4457,                 1.5409,                 1.1269,               0.001568,               0.001568,               0.001568
                     11,                  1.208,                 1.0299,                 1.0118,                0.58462,                0.62917,                0.57915,                0.37376,                 1.3254,                  1.367,                 1.0692,               0.001557,               0.001557,               0.001557
                     12,                 1.1445,                0.96353,                 0.9988,                0.64776,                0.65027,                0.68677,                0.44777,                 1.2962,                   1.41,                 1.0696,               0.001546,               0.001546,               0.001546
