                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9055,                0.62795,                0.90956,                 0.8786,                0.84412,                0.93066,                0.70328,                 1.0416,                0.71263,                0.94976,             0.00091885,             0.00091885,             0.00091885
                     36,                0.90135,                0.63602,                0.92057,                0.89526,                0.85452,                0.92453,                0.69579,                  1.034,                0.70692,                0.94169,             0.00089685,             0.00089685,             0.00089685
                     37,                 0.8913,                0.60667,                0.90399,                0.87339,                0.88212,                0.92703,                0.70975,                0.97575,                0.67288,                0.93531,             0.00087484,             0.00087484,             0.00087484
                     38,                0.88746,                0.59197,                0.90663,                0.86377,                0.86482,                0.92091,                0.70788,                 0.9828,                0.68766,                0.93205,             0.00085284,             0.00085284,             0.00085284
                     39,                0.89016,                0.60175,                0.91092,                0.87804,                0.85356,                0.92576,                0.70157,                 1.0002,                 0.7161,                0.93929,             0.00083083,             0.00083083,             0.00083083
                     40,                0.87936,                0.60682,                0.90028,                0.85575,                0.83709,                0.92139,                0.69605,                 1.0125,                0.71234,                0.95137,             0.00080883,             0.00080883,             0.00080883
                     41,                0.86903,                0.57886,                0.90361,                0.84902,                0.86291,                 0.9338,                0.71337,                 1.0048,                 0.6846,                0.93629,             0.00078682,             0.00078682,             0.00078682
                     42,                0.86644,                0.57786,                 0.9044,                0.85891,                0.85927,                0.94023,                0.72571,                 1.0124,                0.68034,                0.94309,             0.00076482,             0.00076482,             0.00076482
                     43,                0.83662,                0.57101,                  0.899,                0.88252,                0.82775,                0.93462,                0.71789,                 1.0156,                0.68841,                 0.9398,             0.00074282,             0.00074282,             0.00074282
                     44,                0.86517,                0.58612,                0.90114,                0.90917,                0.82747,                0.91692,                0.70343,                0.99873,                0.70843,                0.94016,             0.00072081,             0.00072081,             0.00072081
                     45,                  0.828,                0.55808,                0.89513,                0.91787,                0.82984,                0.93514,                0.72074,                0.97939,                0.65757,                0.92694,             0.00069881,             0.00069881,             0.00069881
                     46,                0.87632,                0.57612,                0.90136,                0.89844,                0.84991,                0.94083,                0.71938,                0.99833,                0.67905,                0.93107,              0.0006768,              0.0006768,              0.0006768
                     47,                0.82306,                0.55844,                0.89337,                0.87995,                0.86151,                0.92915,                0.71671,                0.97377,                0.69996,                0.93141,              0.0006548,              0.0006548,              0.0006548
                     48,                0.83276,                0.55231,                0.89797,                0.88497,                0.86487,                0.93507,                0.73337,                0.94769,                0.67015,                0.91217,             0.00063279,             0.00063279,             0.00063279
                     49,                0.80944,                0.54097,                0.88361,                0.90628,                0.85183,                0.93703,                 0.7328,                0.97223,                0.67894,                0.92059,             0.00061079,             0.00061079,             0.00061079
                     50,                0.81247,                0.53006,                0.88906,                0.89972,                   0.86,                0.94167,                0.72966,                0.96279,                0.63327,                0.92201,             0.00058878,             0.00058878,             0.00058878
                     51,                0.80868,                0.53383,                0.89243,                0.91192,                0.85417,                0.94225,                0.73632,                 0.9792,                 0.6439,                0.92211,             0.00056678,             0.00056678,             0.00056678
                     52,                 0.7907,                0.51886,                0.88684,                0.90704,                0.84705,                0.94612,                0.73997,                0.94717,                0.65238,                0.91365,             0.00054478,             0.00054478,             0.00054478
                     53,                0.77545,                0.50428,                0.87538,                0.85767,                0.89021,                0.94125,                0.74434,                0.93922,                0.63575,                0.91721,             0.00052277,             0.00052277,             0.00052277
                     54,                 0.7907,                0.50913,                0.87242,                0.90307,                0.86423,                0.94444,                0.74397,                0.93394,                0.61136,                0.91458,             0.00050077,             0.00050077,             0.00050077
                     55,                  0.761,                0.50005,                0.87509,                0.89293,                 0.8572,                0.93131,                0.73346,                0.92659,                0.68903,                0.91267,             0.00047876,             0.00047876,             0.00047876
                     56,                0.75981,                0.49419,                0.87703,                0.89604,                0.86801,                0.93503,                0.73556,                0.92653,                0.62993,                 0.9128,             0.00045676,             0.00045676,             0.00045676
                     57,                0.77601,                0.50756,                 0.8844,                0.87186,                 0.8941,                0.93949,                0.74871,                0.92342,                0.63378,                0.91107,             0.00043475,             0.00043475,             0.00043475
                     58,                0.77582,                0.50091,                0.88318,                 0.9142,                0.84331,                0.93833,                 0.7395,                0.92372,                0.67534,                0.90775,             0.00041275,             0.00041275,             0.00041275
                     59,                0.74554,                0.48822,                0.87054,                0.91044,                 0.8567,                0.94681,                0.75482,                0.90864,                0.61956,                0.90189,             0.00039074,             0.00039074,             0.00039074
                     60,                0.75308,                0.49775,                0.87335,                0.91019,                0.85753,                0.94475,                 0.7512,                0.91462,                 0.6059,                0.90915,             0.00036874,             0.00036874,             0.00036874
                     61,                0.74168,                0.48452,                0.87274,                0.87862,                 0.8849,                0.93949,                0.74551,                0.91974,                0.63413,                 0.9058,             0.00034674,             0.00034674,             0.00034674
                     62,                 0.7591,                0.49447,                0.88193,                0.91091,                0.86301,                0.94404,                0.75472,                0.91108,                0.60495,                0.90626,             0.00032473,             0.00032473,             0.00032473
                     63,                0.73916,                0.47939,                0.87099,                 0.8809,                0.88705,                0.94546,                0.76095,                0.89537,                0.63223,                0.90478,             0.00030273,             0.00030273,             0.00030273
                     64,                0.72532,                0.47233,                0.87665,                0.93216,                 0.8385,                0.94702,                0.75391,                0.89262,                0.62772,                0.90402,             0.00028072,             0.00028072,             0.00028072
                     65,                0.72437,                0.47084,                0.86525,                0.91513,                0.85849,                0.93999,                0.74989,                0.89647,                0.60577,                0.90117,             0.00025872,             0.00025872,             0.00025872
                     66,                0.77039,                0.51238,                0.86506,                0.89403,                0.87413,                0.94005,                0.74232,                0.90607,                0.63282,                 0.9079,             0.00023671,             0.00023671,             0.00023671
                     67,                0.75851,                0.47847,                0.86544,                0.88829,                0.87637,                0.94501,                0.75121,                0.90379,                0.58376,                0.90789,             0.00021471,             0.00021471,             0.00021471
                     68,                0.75943,                0.46599,                0.85296,                0.91913,                0.87213,                0.94939,                0.75133,                0.88726,                0.57583,                0.90259,             0.00019271,             0.00019271,             0.00019271
                     69,                  0.738,                0.45311,                0.84949,                0.87829,                0.91787,                0.94926,                0.75336,                0.88495,                0.58674,                0.90322,              0.0001707,              0.0001707,              0.0001707
                     70,                 0.7377,                0.46084,                0.85194,                 0.9233,                 0.8684,                0.94821,                 0.7539,                0.89999,                0.58688,                0.90396,              0.0001487,              0.0001487,              0.0001487
                     71,                0.73645,                0.45427,                0.85101,                0.91803,                0.86876,                0.94834,                0.76156,                0.88426,                0.58066,                0.90097,             0.00012669,             0.00012669,             0.00012669
                     72,                0.72561,                0.44642,                0.85113,                0.91398,                0.87841,                0.95302,                0.76256,                 0.8891,                0.58061,                    0.9,             0.00010469,             0.00010469,             0.00010469
                     73,                0.71003,                0.44309,                0.84657,                0.92411,                0.87528,                0.95689,                0.76317,                0.89054,                0.57217,                0.90045,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     74,                0.71302,                0.43534,                0.84039,                 0.8986,                0.90164,                0.95532,                0.76752,                0.86805,                0.55859,                0.89656,             6.0679e-05,             6.0679e-05,             6.0679e-05
                     75,                0.69787,                0.43071,                0.84187,                0.93286,                0.86738,                0.95487,                0.76543,                0.86688,                0.55986,                0.89483,             3.8674e-05,             3.8674e-05,             3.8674e-05
