                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2059,                 3.4949,                0.99138,                0.00681,                0.94488,                0.37558,                0.30236,                 1.0613,                 3.2949,                 0.8819,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1684,                 1.6919,                0.95679,                0.00665,                0.92158,                0.48421,                0.35804,                 1.1866,                 3.1279,                0.91139,             0.00034314,             0.00034314,             0.00034314
                      3,                 1.1063,                 1.2947,                0.95615,                0.00621,                0.85217,                0.32958,                0.25976,                 1.1282,                 3.2948,                0.94109,             0.00051232,             0.00051232,             0.00051232
                      4,                 1.1265,                 1.1846,                0.96052,                0.89646,                0.03845,                0.34974,                0.24945,                 1.1539,                 3.0096,                 0.9224,             0.00067423,             0.00067423,             0.00067423
                      5,                 1.1325,                 1.1401,                0.96259,                0.80869,                0.02313,                0.12157,                0.07441,                 1.2918,                 3.2884,                 1.0217,             0.00082889,             0.00082889,             0.00082889
                      6,                 1.1383,                 1.1158,                0.97515,                0.79367,                0.06088,                 0.0987,                0.05316,                 1.4324,                 3.3722,                 1.1391,             0.00097628,             0.00097628,             0.00097628
                      7,                 1.1476,                 1.0945,                0.97581,                0.87047,                0.05632,                0.14068,                0.08032,                 1.4313,                  3.108,                 1.1076,              0.0011164,              0.0011164,              0.0011164
                      8,                 1.1473,                  1.062,                 0.9793,                0.78677,                0.28117,                0.40283,                0.25417,                 1.4192,                 2.5668,                 1.0448,              0.0012493,              0.0012493,              0.0012493
                      9,                  1.152,                 1.0405,                0.99424,                0.47217,                0.34456,                0.38967,                0.27566,                 1.4353,                 2.3963,                 1.1273,              0.0013749,              0.0013749,              0.0013749
                     10,                 1.1697,                 1.0188,                0.99507,                0.04376,                0.20591,                0.03935,                0.02628,                 1.5091,                 7.0711,                 1.1739,              0.0013699,              0.0013699,              0.0013699
