                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1728,                 3.4793,                0.97841,                0.00699,                0.94708,                0.38407,                0.29448,                 1.1933,                 3.2933,                0.93219,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1419,                 1.6783,                0.94386,                0.00711,                0.93978,                0.53626,                0.36862,                 1.2566,                 3.1399,                 0.9537,             0.00034314,             0.00034314,             0.00034314
                      3,                 1.1292,                 1.3293,                0.95827,                0.00567,                0.81086,                0.19258,                0.14513,                 1.1465,                 3.4479,                0.99162,             0.00051232,             0.00051232,             0.00051232
                      4,                 1.1069,                 1.2142,                0.95615,                 0.9144,                0.05155,                0.10726,                0.07953,                 1.2486,                 3.3637,                 1.0019,             0.00067423,             0.00067423,             0.00067423
                      5,                 1.1149,                 1.1454,                 0.9659,                0.49758,                0.14132,                 0.1896,                0.12293,                  1.242,                 2.8992,                0.97036,             0.00082889,             0.00082889,             0.00082889
                      6,                 1.1631,                 1.1125,                 0.9828,                0.67947,                 0.0919,                0.14362,                0.08655,                 1.3111,                 3.1233,                 1.0696,             0.00097628,             0.00097628,             0.00097628
                      7,                   1.12,                 1.1015,                0.97895,                0.53586,                 0.1808,                0.21604,                 0.1355,                 1.3802,                 3.0041,                 1.0915,              0.0011164,              0.0011164,              0.0011164
                      8,                 1.1823,                 1.0705,                0.98519,                0.83141,                0.27096,                0.44708,                 0.2789,                 1.3896,                 2.7089,                 1.0725,              0.0012493,              0.0012493,              0.0012493
                      9,                 1.1746,                 1.0565,                0.99547,                0.57939,                0.57542,                0.62434,                0.39677,                 1.3708,                 1.9587,                 1.0871,              0.0013749,              0.0013749,              0.0013749
                     10,                 1.1284,                 1.0042,                0.99568,                0.74256,                0.48048,                0.62758,                0.40004,                 1.5053,                 2.1009,                  1.147,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1641,                 0.9877,                 1.0035,                0.65664,                 0.6735,                0.70251,                 0.4518,                 1.3594,                 1.3549,                 1.0862,              0.0013369,              0.0013369,              0.0013369
