                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2226,                   3.58,                0.97788,                0.00691,                0.94129,                0.36264,                0.27865,                 1.0886,                 3.3324,                0.88344,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1646,                 1.6724,                0.95407,                0.00723,                0.92118,                0.51719,                0.34112,                 1.1251,                 3.1641,                 0.9085,             0.00034776,             0.00034776,             0.00034776
                      3,                 1.1109,                 1.2805,                0.95766,                0.00572,                0.86626,                0.17872,                0.12445,                 1.1122,                 3.3335,                0.94212,              0.0005264,              0.0005264,              0.0005264
                      4,                 1.1391,                 1.1754,                0.96816,                0.00441,                0.73513,                 0.0734,                 0.0489,                 1.1462,                 3.3471,                0.98291,             0.00070262,             0.00070262,             0.00070262
                      5,                 1.1624,                 1.1542,                0.97431,                 0.6408,                0.08348,                  0.238,                0.15548,                 1.2815,                 3.0048,                 1.0104,             0.00087642,             0.00087642,             0.00087642
                      6,                 1.1123,                 1.0968,                0.97119,                0.56104,                 0.0235,                0.16696,                0.10599,                 1.2271,                 3.0621,                 1.0368,              0.0010478,              0.0010478,              0.0010478
                      7,                 1.1496,                 1.1081,                0.98474,                0.16871,                0.19882,                0.06112,                0.03296,                 1.3475,                 3.4886,                 1.1178,              0.0012167,              0.0012167,              0.0012167
                      8,                 1.1666,                 1.0916,                 0.9872,                0.29281,                0.47272,                0.22325,                0.14538,                 1.2559,                  2.483,                 1.0498,              0.0013833,              0.0013833,              0.0013833
                      9,                 1.1616,                 1.0534,                0.99919,                 0.4247,                0.49995,                0.43102,                0.28305,                 1.3784,                 2.3113,                 1.0957,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.1827,                 1.0405,                 1.0033,                0.25345,                0.16175,                0.12123,                0.06872,                 1.6005,                  3.877,                 1.2716,               0.001568,               0.001568,               0.001568
                     11,                 1.1751,                0.99893,                0.99639,                0.62659,                0.22277,                 0.2364,                0.15747,                 1.4785,                 2.7008,                 1.2005,               0.001557,               0.001557,               0.001557
                     12,                 1.1486,                0.95982,                0.99643,                0.58319,                0.32866,                0.38848,                0.25516,                 1.5063,                 2.1748,                 1.1551,               0.001546,               0.001546,               0.001546
                     13,                 1.1212,                0.90554,                0.98539,                0.53056,                0.53191,                0.45235,                0.26479,                  1.412,                 1.7806,                 1.1102,               0.001535,               0.001535,               0.001535
                     14,                  1.131,                0.88986,                0.99025,                0.64232,                0.67473,                0.71981,                0.45056,                 1.2913,                 1.2961,                 1.0642,               0.001524,               0.001524,               0.001524
                     15,                 1.0924,                0.85456,                0.98508,                 0.7802,                0.68121,                0.78462,                0.51821,                 1.3464,                 1.1624,                   1.12,               0.001513,               0.001513,               0.001513
                     16,                 1.0997,                0.84681,                0.98354,                0.68924,                0.61371,                0.66396,                0.44487,                 1.3381,                 1.4502,                 1.0542,               0.001502,               0.001502,               0.001502
                     17,                 1.0494,                  0.814,                0.97192,                0.82597,                0.67215,                0.80641,                0.54833,                  1.189,                 1.0175,                 1.0223,               0.001491,               0.001491,               0.001491
                     18,                 1.0605,                0.80288,                0.96808,                0.78302,                0.76761,                0.83509,                0.56847,                 1.2088,                0.91352,                 1.0144,                0.00148,                0.00148,                0.00148
                     19,                 1.0669,                0.80711,                0.96967,                0.76998,                0.78887,                0.85347,                0.58509,                 1.1947,                0.94487,                 1.0323,               0.001469,               0.001469,               0.001469
                     20,                 1.0521,                0.77885,                0.96997,                0.83354,                0.67475,                0.80642,                0.57222,                 1.1644,                 1.0107,                0.99734,               0.001458,               0.001458,               0.001458
                     21,                 1.0579,                0.76557,                0.96095,                0.79446,                0.76837,                0.83094,                0.59978,                 1.1456,                0.96998,                 1.0072,               0.001447,               0.001447,               0.001447
                     22,                0.99662,                 0.7504,                0.95166,                0.90642,                0.76633,                0.89597,                0.62848,                 1.1294,                0.78141,                 1.0017,               0.001436,               0.001436,               0.001436
                     23,                0.99237,                0.72419,                0.93559,                0.85023,                0.79739,                0.91757,                0.64995,                 1.0777,                0.84951,                0.97281,               0.001425,               0.001425,               0.001425
                     24,                 1.0171,                0.74714,                 0.9447,                0.87276,                0.80025,                0.91022,                0.65256,                 1.0869,                0.79358,                 0.9757,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.0358,                0.74559,                  0.955,                0.85379,                0.73388,                0.82409,                  0.573,                 1.1653,                0.96128,                 1.0145,              0.0014029,              0.0014029,              0.0014029
                     26,                0.99288,                0.72155,                0.94714,                0.82981,                0.82669,                0.89634,                0.63872,                 1.1131,                0.78446,                0.98612,              0.0013919,              0.0013919,              0.0013919
                     27,                0.98219,                0.70132,                0.93491,                  0.815,                 0.7421,                0.85982,                0.62269,                 1.0401,                0.86076,                0.95574,              0.0013809,              0.0013809,              0.0013809
                     28,                0.95005,                0.69181,                0.93472,                0.87017,                0.82934,                0.91604,                 0.6665,                 1.0496,                0.77741,                0.97554,              0.0013699,              0.0013699,              0.0013699
                     29,                0.97452,                0.71355,                  0.946,                0.81301,                0.83911,                0.89833,                0.65961,                 1.0163,                0.75745,                 0.9404,              0.0013589,              0.0013589,              0.0013589
                     30,                0.95539,                0.68007,                0.93736,                0.80998,                0.84412,                0.90613,                0.64435,                 1.0565,                0.78236,                0.96641,              0.0013479,              0.0013479,              0.0013479
                     31,                0.94929,                0.68763,                 0.9378,                0.89785,                0.82417,                 0.9257,                 0.6737,                 1.0494,                0.74802,                0.95744,              0.0013369,              0.0013369,              0.0013369
