                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1747,                 3.5426,                 0.9814,                0.00742,                0.94909,                0.34304,                0.28042,                 1.1665,                  3.315,                0.91235,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1849,                 1.6917,                0.95849,                0.00698,                 0.9549,                0.40723,                0.27955,                 1.2872,                 3.2119,                0.94929,             0.00034314,             0.00034314,             0.00034314
                      3,                 1.1039,                 1.2872,                0.94874,                      1,                 0.0282,                0.30701,                0.23583,                 1.1603,                 3.2462,                0.95288,             0.00051232,             0.00051232,             0.00051232
                      4,                  1.129,                  1.201,                0.96207,                      1,                 0.0274,                0.25721,                0.19803,                 1.1272,                 3.1615,                0.93662,             0.00067423,             0.00067423,             0.00067423
                      5,                 1.1317,                  1.116,                0.97281,                0.80905,                0.01987,                0.20489,                0.12536,                  1.227,                 2.9583,                0.97078,             0.00082889,             0.00082889,             0.00082889
                      6,                 1.1325,                 1.1226,                0.97156,                0.86774,                0.07095,                0.13266,                0.09942,                 1.3727,                   3.14,                 1.0535,             0.00097628,             0.00097628,             0.00097628
                      7,                 1.1356,                 1.0924,                0.97266,                 0.3606,                0.11632,                0.17562,                0.10032,                 1.3879,                 2.7324,                 1.0539,              0.0011164,              0.0011164,              0.0011164
                      8,                  1.134,                 1.0698,                0.99451,                0.30377,                0.15512,                0.19724,                0.14186,                 1.4355,                 2.6257,                 1.0795,              0.0012493,              0.0012493,              0.0012493
                      9,                 1.1187,                 1.0168,                0.98109,                0.64705,                0.40582,                0.51828,                0.32941,                 1.3587,                 2.1895,                 1.1004,              0.0013749,              0.0013749,              0.0013749
                     10,                 1.1611,                 1.0275,                0.99397,                 0.8247,                  0.348,                0.62562,                0.38007,                 1.4544,                  2.188,                 1.1815,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.135,                0.95723,                 0.9885,                0.69795,                  0.431,                0.49811,                 0.3129,                 1.5135,                 2.0071,                 1.1659,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.135,                0.93732,                0.99075,                 0.4754,                0.55286,                0.48158,                0.29574,                  1.366,                 1.8791,                 1.0905,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0592,                0.86348,                0.96415,                0.82413,                0.71169,                0.80363,                0.52802,                 1.3077,                 1.0511,                 1.0319,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1172,                0.87635,                0.97423,                0.49677,                0.61112,                0.51782,                0.32381,                 1.3405,                  1.804,                  1.074,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0455,                 0.8408,                0.96319,                0.65033,                0.69431,                 0.6812,                0.45899,                 1.2054,                 1.1635,                 1.0157,              0.0012049,              0.0012049,              0.0012049
                     16,                  1.107,                0.85039,                0.97349,                0.75478,                0.71848,                0.78047,                0.52496,                 1.2078,                 1.0639,                0.97276,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0684,                0.81742,                0.94945,                0.81125,                0.78342,                0.83062,                0.58686,                  1.163,                0.96981,                 0.9688,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0243,                0.76374,                0.94418,                0.80992,                0.72954,                 0.8126,                0.57665,                 1.1638,                 1.0752,                0.96614,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0225,                0.76832,                0.94759,                0.88035,                 0.7971,                0.88942,                0.64343,                  1.115,                 0.8157,                 0.9654,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0043,                 0.7629,                0.94275,                0.87389,                0.77269,                 0.8654,                0.62554,                 1.1542,                0.87469,                0.96726,              0.0010399,              0.0010399,              0.0010399
                     21,                0.98647,                0.73144,                0.93433,                0.86759,                0.80406,                0.86917,                0.61275,                  1.122,                0.84327,                0.94767,              0.0010069,              0.0010069,              0.0010069
                     22,                0.94447,                0.70687,                0.92973,                0.85576,                0.82751,                 0.8838,                0.63594,                 1.1118,                0.76499,                0.95019,             0.00097386,             0.00097386,             0.00097386
                     23,                0.98117,                0.68738,                0.93072,                0.85601,                0.83125,                0.89594,                0.65462,                 1.0952,                0.84053,                 0.9471,             0.00094085,             0.00094085,             0.00094085
                     24,                0.97113,                0.69089,                 0.9369,                0.87821,                0.83929,                0.90734,                0.65578,                 1.0968,                0.73468,                0.95921,             0.00090785,             0.00090785,             0.00090785
                     25,                0.94801,                0.68041,                 0.9214,                 0.8752,                 0.8464,                0.89601,                0.64797,                 1.0925,                0.77977,                0.95581,             0.00087484,             0.00087484,             0.00087484
                     26,                0.92728,                0.67495,                0.92331,                0.89175,                0.84083,                0.90841,                0.67455,                 1.0763,                0.73445,                0.97026,             0.00084184,             0.00084184,             0.00084184
                     27,                0.92108,                0.65969,                0.91317,                0.84149,                0.86602,                0.90911,                0.66597,                 1.0537,                0.78434,                0.93203,             0.00080883,             0.00080883,             0.00080883
                     28,                0.92789,                 0.6633,                0.92496,                0.87656,                0.84595,                0.91443,                0.67541,                 1.0426,                0.70038,                0.93574,             0.00077582,             0.00077582,             0.00077582
