                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2226,                   3.58,                0.97788,                0.00691,                0.94129,                0.36264,                0.27865,                 1.0886,                 3.3324,                0.88344,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1672,                  1.674,                0.95444,                0.00703,                0.94318,                0.54766,                0.33795,                 1.1536,                 3.1243,                0.90876,             0.00034545,             0.00034545,             0.00034545
                      3,                 1.1162,                 1.2869,                0.96016,                0.00629,                 0.8833,                0.30016,                0.21169,                 1.0713,                 3.2863,                0.93539,             0.00051936,             0.00051936,             0.00051936
                      4,                 1.1296,                 1.1737,                0.96667,                0.95237,                0.05065,                0.25513,                0.19884,                 1.1907,                 3.2449,                0.98364,             0.00068842,             0.00068842,             0.00068842
                      5,                   1.15,                 1.1383,                0.96732,                0.80302,                0.16864,                0.30392,                0.19542,                 1.3182,                 3.0624,                 1.0214,             0.00085265,             0.00085265,             0.00085265
                      6,                 1.1164,                 1.0947,                0.97442,                0.67409,                0.15909,                0.33525,                0.21805,                 1.2796,                 2.7414,                0.98898,               0.001012,               0.001012,               0.001012
                      7,                 1.1507,                 1.0946,                 0.9776,                0.37233,                0.17086,                0.11876,                0.07395,                 1.3501,                 2.9872,                 1.0826,              0.0011666,              0.0011666,              0.0011666
                      8,                 1.1387,                  1.067,                0.98079,                0.49521,                0.51801,                0.32927,                0.18798,                 1.3428,                 2.4033,                  1.061,              0.0013163,              0.0013163,              0.0013163
                      9,                 1.1502,                 1.0638,                0.98875,                0.44978,                0.37834,                0.27044,                0.14463,                 1.4971,                 2.5402,                 1.2394,              0.0014611,              0.0014611,              0.0014611
                     10,                 1.1735,                 1.0278,                0.99372,                0.46642,                0.47195,                 0.4542,                0.26445,                 1.4027,                 1.6821,                 1.1063,               0.001469,               0.001469,               0.001469
                     11,                 1.1483,                0.99376,                0.98988,                0.64708,                0.56769,                 0.6214,                0.40128,                 1.3904,                 1.6997,                 1.1193,               0.001447,               0.001447,               0.001447
                     12,                 1.1201,                0.93875,                0.98434,                0.74688,                0.64335,                0.73517,                0.46832,                 1.3266,                 1.2601,                 1.0778,               0.001425,               0.001425,               0.001425
                     13,                 1.1268,                0.91041,                0.98554,                  0.785,                0.76054,                0.83119,                0.52899,                 1.2236,                 1.0809,                 1.0673,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1174,                0.88909,                0.98478,                0.74102,                0.78437,                0.85357,                0.58032,                 1.1931,                 1.1469,                 1.0428,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0992,                 0.8457,                0.98255,                0.79123,                0.79836,                0.89482,                0.60794,                 1.1583,                0.95939,                 1.0018,              0.0013589,              0.0013589,              0.0013589
