                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2029,                 3.5418,                0.98622,                 0.0067,                0.92424,                0.32557,                0.23948,                 1.2413,                  3.338,                 0.9088,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1864,                  1.739,                0.96409,                0.00622,                0.92462,                0.51319,                0.35889,                 1.2518,                 3.1285,                0.93806,             0.00034314,             0.00034314,             0.00034314
                      3,                 1.1249,                 1.3168,                0.96313,                0.00556,                0.87159,                0.26782,                0.20722,                 1.1704,                 3.2793,                0.94566,             0.00051232,             0.00051232,             0.00051232
                      4,                 1.1074,                 1.1864,                0.96432,                      1,                0.07219,                 0.3006,                0.23034,                 1.2688,                 3.3007,                 1.0055,             0.00067423,             0.00067423,             0.00067423
                      5,                 1.1066,                 1.1327,                0.96346,                0.82594,                 0.1654,                0.40877,                0.26019,                 1.3087,                 2.9355,                0.99236,             0.00082889,             0.00082889,             0.00082889
                      6,                 1.0984,                 1.0892,                0.96564,                0.74246,                0.01648,                0.05334,                0.03229,                  1.499,                 3.3777,                  1.126,             0.00097628,             0.00097628,             0.00097628
                      7,                 1.1278,                 1.0698,                0.98617,                0.65837,                0.14096,                0.33225,                0.22887,                 1.2775,                 2.6502,                 1.0248,              0.0011164,              0.0011164,              0.0011164
                      8,                 1.1177,                 1.0488,                0.98448,                0.47385,                0.24011,                0.26945,                0.15586,                 1.4217,                 2.6111,                 1.1007,              0.0012493,              0.0012493,              0.0012493
                      9,                 1.1077,                 1.0294,                0.98093,                 0.4074,                 0.4639,                0.32658,                0.18683,                 1.4092,                 2.8751,                 1.1157,              0.0013749,              0.0013749,              0.0013749
                     10,                 1.1225,                0.99963,                0.98178,                0.27347,                0.22165,                0.15117,                 0.1084,                 1.4781,                 2.7508,                 1.1897,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1419,                0.98179,                0.99241,                0.68611,                0.65582,                0.70418,                0.45743,                 1.3754,                 1.4893,                 1.0864,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1517,                 0.9341,                0.99134,                0.75912,                0.67087,                0.73197,                 0.4774,                 1.3173,                 1.2831,                 1.0776,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0791,                0.89348,                0.96982,                 0.5431,                 0.6256,                0.50405,                0.30822,                 1.3358,                 1.4464,                 1.0503,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0631,                0.85963,                0.96852,                 0.7753,                0.73104,                0.75546,                0.50592,                 1.2885,                 1.1207,                 1.0116,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0553,                0.83788,                0.96783,                0.74581,                0.73216,                0.82423,                0.56544,                 1.2039,                0.98444,                 1.0056,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0446,                0.81344,                 0.9698,                0.83781,                0.75924,                0.84058,                0.58266,                 1.1617,                 1.0326,                0.97818,              0.0011719,              0.0011719,              0.0011719
                     17,                  1.038,                0.79704,                0.95185,                0.84825,                0.75383,                 0.8567,                0.61257,                 1.1304,                0.87163,                0.97269,              0.0011389,              0.0011389,              0.0011389
                     18,                  1.029,                0.78087,                0.96441,                0.80793,                 0.6576,                0.72697,                0.52379,                 1.2826,                  1.336,                 1.0494,              0.0011059,              0.0011059,              0.0011059
