                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1747,                 3.5426,                 0.9814,                0.00742,                0.94909,                0.34304,                0.28042,                 1.1665,                  3.315,                0.91235,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1841,                 1.6913,                0.95804,                0.00697,                0.94616,                0.41433,                0.28824,                 1.2786,                 3.2007,                0.94626,             0.00034776,             0.00034776,             0.00034776
                      3,                 1.1089,                 1.2889,                 0.9517,                      1,                0.01642,                0.24239,                0.17982,                  1.159,                 3.2748,                0.95965,              0.0005264,              0.0005264,              0.0005264
                      4,                 1.1401,                 1.2046,                0.96222,                0.95126,                0.05097,                0.22741,                0.17842,                 1.1432,                 3.1217,                0.95267,             0.00070262,             0.00070262,             0.00070262
                      5,                 1.1353,                 1.1226,                0.97302,                0.52196,                0.02705,                0.22333,                0.13842,                 1.2602,                 2.9417,                0.98601,             0.00087642,             0.00087642,             0.00087642
                      6,                 1.1634,                 1.1471,                0.99341,                0.74598,                0.12101,                0.43742,                0.31376,                 1.3089,                  2.837,                 1.0074,              0.0010478,              0.0010478,              0.0010478
                      7,                 1.1495,                 1.1196,                0.98062,                0.72677,                0.02703,                0.27446,                0.16146,                 1.3228,                 2.9028,                 1.0361,              0.0012167,              0.0012167,              0.0012167
                      8,                 1.1503,                 1.0791,                0.98937,                0.13975,                0.16215,                0.08285,                0.05473,                 1.4439,                 3.1545,                 1.1724,              0.0013833,              0.0013833,              0.0013833
                      9,                 1.1499,                 1.0516,                0.99959,                0.46343,                0.39784,                0.28902,                0.15795,                 1.4374,                   2.59,                 1.1601,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.1682,                 1.0422,                 1.0022,                0.68088,                0.39532,                0.47153,                0.32105,                 1.4528,                 2.2506,                 1.1823,               0.001568,               0.001568,               0.001568
                     11,                 1.1642,                0.96588,                  1.006,                0.45541,                0.56515,                0.36891,                 0.2186,                 1.4034,                 2.0247,                 1.1486,               0.001557,               0.001557,               0.001557
                     12,                 1.1849,                0.96196,                 1.0131,                0.39506,                0.72822,                0.41929,                 0.2298,                 1.4003,                 2.1658,                 1.0958,               0.001546,               0.001546,               0.001546
                     13,                 1.0981,                0.88938,                0.98068,                0.74903,                0.66048,                0.74271,                0.48622,                  1.286,                 1.1576,                 1.0353,               0.001535,               0.001535,               0.001535
                     14,                 1.1439,                0.87776,                0.99018,                0.73605,                0.69457,                0.80014,                0.52128,                 1.2864,                 1.3109,                 1.0664,               0.001524,               0.001524,               0.001524
                     15,                  1.089,                0.86666,                0.97812,                0.62099,                0.56477,                0.65192,                0.43601,                 1.2915,                 1.4201,                 1.0421,               0.001513,               0.001513,               0.001513
                     16,                 1.1309,                 0.8734,                0.97855,                0.65975,                0.78275,                0.83456,                0.53313,                 1.2688,                 1.0387,                 1.0253,               0.001502,               0.001502,               0.001502
                     17,                 1.1329,                0.84886,                0.97118,                0.86974,                0.75829,                0.84959,                0.57424,                 1.2489,                 1.1247,                 1.0294,               0.001491,               0.001491,               0.001491
                     18,                 1.0654,                0.79144,                0.96974,                0.81992,                0.75725,                0.84316,                0.58139,                 1.1843,                0.92495,                0.98882,                0.00148,                0.00148,                0.00148
                     19,                 1.0691,                0.80622,                0.96725,                0.88517,                0.79761,                0.88922,                0.63648,                 1.1469,                0.96664,                0.98513,               0.001469,               0.001469,               0.001469
                     20,                  1.064,                0.78667,                0.96989,                0.83343,                 0.8052,                0.86753,                 0.6091,                 1.2091,                0.86548,                0.99454,               0.001458,               0.001458,               0.001458
                     21,                 1.0191,                0.76021,                0.95242,                0.87643,                0.75469,                0.88721,                0.61947,                 1.1438,                0.83467,                0.98994,               0.001447,               0.001447,               0.001447
                     22,                 1.0086,                0.75302,                0.95349,                0.83183,                0.77838,                0.88153,                0.62129,                 1.1578,                0.86625,                0.98906,               0.001436,               0.001436,               0.001436
