                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2226,                   3.58,                0.97788,                0.00691,                0.94129,                0.36264,                0.27865,                 1.0886,                 3.3324,                0.88344,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1658,                 1.6749,                0.95402,                0.00703,                0.94129,                 0.5542,                0.34998,                 1.1642,                 3.1217,                0.91396,             0.00034314,             0.00034314,             0.00034314
                      3,                 1.1086,                 1.2832,                0.95799,                0.00618,                0.87951,                0.19102,                0.12288,                 1.0895,                 3.3253,                0.94078,             0.00051232,             0.00051232,             0.00051232
                      4,                 1.1387,                 1.1705,                0.96768,                0.90731,                0.07017,                0.26876,                0.20847,                 1.1487,                 3.0999,                0.95297,             0.00067423,             0.00067423,             0.00067423
                      5,                 1.1579,                 1.1542,                0.97204,                0.61852,                0.13232,                0.21992,                0.14511,                 1.2777,                 2.9011,                 1.0141,             0.00082889,             0.00082889,             0.00082889
                      6,                 1.0898,                 1.0862,                0.96974,                0.57484,                 0.1237,                0.23311,                0.15296,                 1.2286,                 2.9325,                0.99979,             0.00097628,             0.00097628,             0.00097628
                      7,                 1.1279,                 1.0985,                0.97466,                0.67868,                0.02128,                0.03145,                0.01412,                 1.4197,                  3.564,                  1.147,              0.0011164,              0.0011164,              0.0011164
                      8,                 1.1295,                 1.0498,                 0.9785,                0.63275,                0.52025,                 0.5833,                0.34707,                 1.2773,                 2.0258,                 1.0334,              0.0012493,              0.0012493,              0.0012493
                      9,                 1.1352,                 1.0352,                0.99002,                0.55613,                0.65627,                0.73917,                 0.4852,                 1.3021,                 1.7061,                 1.0773,              0.0013749,              0.0013749,              0.0013749
                     10,                 1.1638,                 1.0307,                0.98425,                 0.4968,                0.71852,                0.61689,                0.40117,                 1.2723,                 1.6942,                 1.0772,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1442,                0.96623,                0.98146,                0.68486,                0.60728,                 0.7094,                0.44831,                 1.3284,                 1.5205,                 1.0952,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1293,                0.94661,                0.97926,                0.76726,                0.73391,                 0.7779,                0.51256,                 1.2843,                 1.2341,                 1.0384,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1213,                0.90433,                0.97672,                0.76664,                0.74662,                0.80748,                0.52554,                 1.2715,                  1.047,                 1.0418,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1119,                0.87725,                0.97714,                0.78656,                0.77031,                0.85595,                0.57099,                 1.2195,                 1.0003,                 1.0568,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0477,                0.82554,                0.96803,                0.88305,                0.76803,                 0.8919,                0.62119,                 1.1273,                0.86695,                0.98495,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0628,                0.82075,                0.96395,                0.82378,                0.75486,                0.85076,                0.59971,                 1.1541,                 1.0342,                0.99858,              0.0011719,              0.0011719,              0.0011719
                     17,                0.99817,                0.77709,                0.94492,                0.88985,                0.61299,                0.73808,                0.51643,                 1.1504,                 1.3507,                 1.0012,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0164,                0.77891,                0.95056,                0.83977,                0.76893,                0.82059,                0.60239,                 1.0994,                 1.0642,                0.97468,              0.0011059,              0.0011059,              0.0011059
